category,correlation,p-value,epochs,lowest train loss,duration
Birds,0.10681411169670262,0.32476838592382834,500,0.0118403523641464,161.10630536079407
Birds,0.4490622400032822,1.2845930479974556e-05,500,0.011017646934272473,160.4472212791443
Birds,0.2962178583064695,0.005339799518498835,500,0.011951996965929385,159.6181857585907
Birds,0.1361654947055703,0.2085495569227618,500,0.012408623443765546,160.34819316864014
Birds,0.32428585760061146,0.0021821654869876145,500,0.013541940542982129,158.30087065696716
Clothing,0.21632641822995882,0.050935035342061216,464,0.015495860544774828,141.00789380073547
Clothing,0.15013661474501686,0.18095365904602875,500,0.01560996727881056,151.5359354019165
Clothing,0.2311708290265313,0.03785554007338406,500,0.015321050575239147,146.36799311637878
Clothing,0.47389858311037286,7.868338713934855e-06,500,0.017076766467689245,147.56979131698608
Clothing,0.3123617249052186,0.004526004468571174,500,0.011661577491676317,151.2937650680542
Fruit,0.03496906140735003,0.8259853917801102,500,0.012526302160616322,75.1584198474884
Fruit,0.45648231327258176,0.0023770065808472957,500,0.008387482709992577,76.21023416519165
Fruit,0.373756379382109,0.014760239080875617,500,0.013547375689441669,76.41886615753174
Fruit,0.16769705438857957,0.2884431508825528,160,0.026272853404487744,26.04594588279724
Fruit,0.3151131140909244,0.042088220023333116,500,0.00890980443551064,76.96858549118042
Furniture,0.24232317097641992,0.14269490499977222,500,0.013629669322564772,69.55845046043396
Furniture,0.5581303891695824,0.0002714746136888235,221,0.030519736047465,31.775897979736328
Furniture,0.1656562154691382,0.320247093881231,410,0.01625933636244114,57.7789261341095
Furniture,0.0247504174490129,0.8827392841327338,500,0.013235532544354932,68.58795356750488
Furniture,0.2662174771671413,0.1061894024707522,86,0.08150092093477437,13.227193355560303
Professions,0.06955207206994768,0.5504969934512124,500,0.016811063463799337,136.1499423980713
Professions,0.3832278680386361,0.0006331984469188615,500,0.015923505150441022,136.46929693222046
Professions,0.29899886256331,0.008697364030124924,500,0.018779488821903778,137.72138786315918
Professions,0.1839724794024887,0.11410527715742637,500,0.017502043621070565,134.8620731830597
Professions,0.24750483167705845,0.03228341132484126,500,0.013221508258479045,133.49921917915344
Sports,0.36167147779005726,0.0013267274093906123,500,0.013043813743809548,134.2150363922119
Sports,0.39440196162856567,0.00042286356666546135,500,0.010872007495662039,140.94469356536865
Sports,0.49983522702661204,4.286157139221722e-06,500,0.010741018816093123,138.99154543876648
Sports,0.3120964030596845,0.006412953205189847,500,0.013075696233432856,139.89669966697693
Sports,0.46768323077801965,2.330365833775728e-05,500,0.011338725174655846,135.011860370636
Vegetables,0.4684301568385401,0.003016062244548669,500,0.008311361935342706,71.12404251098633
Vegetables,0.4486072100546477,0.0047298752348226185,500,0.0071574478506385136,66.65515470504761
Vegetables,0.23961917431537372,0.1473446157925543,500,0.008451622831300017,66.37505197525024
Vegetables,0.6757612817240465,3.233342944857532e-06,500,0.00952730279746617,66.50257587432861
Vegetables,0.5273315752125705,0.0006692186934500052,500,0.0063836414402493645,68.12528276443481
Vehicles,0.47788102484908757,0.0006810836028168831,141,0.034687170065511884,24.359821557998657
Vehicles,0.4467896028733537,0.0018539032756619447,500,0.013460803396410913,80.66167044639587
Vehicles,0.17264931072782014,0.2512244922123391,500,0.013211573468476144,84.9946653842926
Vehicles,0.5220818476261878,0.000198162593171514,500,0.013688366425943158,87.74903845787048
Vehicles,0.5230634903028145,0.000191789385977531,500,0.014560706220213533,84.790034532547
