category,correlation,p-value,epochs,lowest train loss,duration
Birds,0.08988262317785953,0.4077152572381083,500,0.0118403523641464,161.10630536079407
Birds,0.47939812408697,2.630125827263037e-06,500,0.011017646934272473,160.4472212791443
Birds,0.2458783334296834,0.021699238043877037,500,0.011951996965929385,159.6181857585907
Birds,0.09932425975371445,0.36003345883588445,500,0.012408623443765546,160.34819316864014
Birds,0.2826429724843312,0.007989687614383451,500,0.013541940542982129,158.30087065696716
Clothing,0.23964949778444586,0.030119963558654653,464,0.015495860544774828,141.00789380073547
Clothing,0.16612556296058664,0.13828387792787838,500,0.01560996727881056,151.5359354019165
Clothing,0.23342085287412975,0.035975865843973893,500,0.015321050575239147,146.36799311637878
Clothing,0.4819373723458023,5.228853503883164e-06,500,0.017076766467689245,147.56979131698608
Clothing,0.08820756080308793,0.433593549539916,500,0.011661577491676317,151.2937650680542
Fruit,0.0586089542305552,0.712363343477378,500,0.012526302160616322,75.1584198474884
Fruit,0.47776925320164265,0.0013753641037289137,500,0.008387482709992577,76.21023416519165
Fruit,0.4494609946871708,0.002825856107279699,500,0.013547375689441669,76.41886615753174
Fruit,0.3669383135470772,0.0168341706743116,160,0.026272853404487744,26.04594588279724
Fruit,0.2831083939254073,0.06925522123161548,500,0.00890980443551064,76.96858549118042
Furniture,0.20758749042132676,0.2110860831668569,500,0.013629669322564772,69.55845046043396
Furniture,0.4123091792051232,0.010102389133754715,221,0.030519736047465,31.775897979736328
Furniture,0.1234811284224329,0.4601530178979978,410,0.01625933636244114,57.7789261341095
Furniture,-0.004708976017482151,0.9776154857211661,500,0.013235532544354932,68.58795356750488
Furniture,0.3835962581187421,0.017435039839293492,86,0.08150092093477437,13.227193355560303
Professions,0.034810905880243666,0.7652945792299763,500,0.016811063463799337,136.1499423980713
Professions,0.3744112464869305,0.0008621616912338466,500,0.015923505150441022,136.46929693222046
Professions,0.3939673696944558,0.0004296705418793498,500,0.018779488821903778,137.72138786315918
Professions,0.2521962450388688,0.029049447352528134,500,0.017502043621070565,134.8620731830597
Professions,0.3257574184462802,0.004344595944491191,500,0.013221508258479045,133.49921917915344
Sports,0.32316852349562286,0.0044069913805508155,500,0.013043813743809548,134.2150363922119
Sports,0.3694726411126091,0.0010210710361923676,500,0.010872007495662039,140.94469356536865
Sports,0.48289675323794184,9.961657157984668e-06,500,0.010741018816093123,138.99154543876648
Sports,0.27548240722644995,0.01674942570125138,500,0.013075696233432856,139.89669966697693
Sports,0.48965017259855126,8.258269507683275e-06,500,0.011338725174655846,135.011860370636
Vegetables,0.38915969342366,0.01574138021532297,500,0.008311361935342706,71.12404251098633
Vegetables,0.4957863750161753,0.001549363868201256,500,0.0071574478506385136,66.65515470504761
Vegetables,0.245894497099836,0.13672023677415437,500,0.008451622831300017,66.37505197525024
Vegetables,0.6916719192190062,1.5173573988102416e-06,500,0.00952730279746617,66.50257587432861
Vegetables,0.6140707824197764,4.121476465437834e-05,500,0.0063836414402493645,68.12528276443481
Vehicles,0.3913483635979055,0.006525600800432288,141,0.034687170065511884,24.359821557998657
Vehicles,0.5020817330317664,0.0003776454534657601,500,0.013460803396410913,80.66167044639587
Vehicles,0.20949385465277767,0.1623190478804539,500,0.013211573468476144,84.9946653842926
Vehicles,0.5754202073038512,2.872054025373914e-05,500,0.013688366425943158,87.74903845787048
Vehicles,0.6473911588202782,1.1595827857440325e-06,500,0.014560706220213533,84.790034532547
