category,correlation,p-value,epochs,lowest train loss,duration
All,0.36809180245171474,5.624332228209824e-17,500,0.015713705550342887,847.4462578296661
All,0.4329700244938714,1.556396008989963e-23,500,0.01654716600019661,849.253368139267
All,0.405502250141971,1.3975134259203934e-20,500,0.016123260572036998,846.4986460208893
All,0.4151108644344287,1.5295282163090652e-21,500,0.015820329787051817,848.4378819465637
All,0.41588603487244613,1.2660332400021128e-21,500,0.016012296375958777,847.8404498100281
