category,correlation,p-value
Birds,0.15502445133145257,0.13259880219762854
Clothing,0.22710742945663892,0.126302104211207
Fruit,0.17192589394783514,0.3226776927081713
Furniture,0.008034843676088133,0.5480522273674076
Professions,0.2125667634491887,0.2459196442748229
Sports,0.24330775649997757,0.16797377649519507
Vegetables,0.12718816398247665,0.4744468273982256
Vehicles,0.21849970481158426,0.22913776483560233
