category,correlation,p-value
Birds,0.1182979168332503,0.2506092277352718
Clothing,0.1807395379047197,0.20286372264248956
Fruit,0.21447979190381505,0.1951397255662434
Furniture,-0.000608813155175858,0.498755810839658
Professions,0.15093882004699194,0.16685211678652417
Sports,0.27255680437635216,0.07808552855154227
Vegetables,0.14643780951187843,0.4186488420769404
Vehicles,0.1807918822736419,0.37064110857625604
