category,correlation,p-value
Birds,0.056243693561795906,0.26525309924399215
Clothing,0.10725500486614788,0.45973411817743537
Fruit,0.13856035150315127,0.44113837482813273
Furniture,-0.04946683964101541,0.5927120913871697
Professions,0.14908600369239772,0.11956583096220959
Sports,0.1670821163327366,0.33480558106517133
Vegetables,0.12808483897242423,0.4863489574295897
Vehicles,0.09811527389172645,0.44933933053013664
