category,correlation,p-value
Birds,0.10108209498864788,0.2275361054232643
Clothing,0.1590127589385097,0.30066289939307655
Fruit,0.08940758624056624,0.53398023438136
Furniture,0.00484878026476884,0.5688686598519513
Professions,0.27137493914363336,0.17651714603123525
Sports,0.16855432791720715,0.4080637218036725
Vegetables,0.0978510046407013,0.5118117848401107
Vehicles,0.12085073521088456,0.5031603183456153
