category,correlation,p-value,epochs,lowest train loss,duration
All,0.4207397148908288,3.472766896489592e-22,500,0.015713705550342887,847.4462578296661
All,0.47903157395725726,3.9172106871296787e-29,500,0.01654716600019661,849.253368139267
All,0.45867109785343896,1.4902722448358173e-26,500,0.016123260572036998,846.4986460208893
All,0.4563656979559143,3.2048977950412665e-26,500,0.015820329787051817,848.4378819465637
All,0.42674720929491844,8.496482607854648e-23,500,0.016012296375958777,847.8404498100281
