category,correlation,p-value
Birds,0.21326275318092866,0.22562557461572763
Clothing,0.3528924398552547,0.005895285193194243
Fruit,0.22923966485263297,0.24267049241284555
Furniture,0.1947725684394503,0.341323728883124
Professions,0.34633628108696424,0.04147704777463021
Sports,0.29171476447312816,0.028698828903315193
Vegetables,0.14671639655934818,0.3987824362648043
Vehicles,0.3496667724328747,0.06322687230270081
