category,correlation,p-value,epochs,lowest train loss,duration
All,0.5205389756270502,5.811857114188558e-35,500,0.00805472575716999,949.8073697090149
All,0.5203569879848201,6.189515708821254e-35,500,0.008007868356577737,949.3642528057098
All,0.465339396222242,2.224273311404709e-27,500,0.007557400227827073,932.6831603050232
All,0.540673392216136,5.13094502040755e-38,500,0.007952627356395594,903.0673182010651
All,0.5192159392362413,1.0749101417336505e-34,500,0.007708915828340824,883.3039178848267
