category,correlation,p-value,epochs,lowest train loss,duration
All,0.48807813588281196,2.453392860977323e-30,500,0.00805472575716999,949.8073697090149
All,0.4963396691893005,1.8162754590195303e-31,500,0.008007868356577737,949.3642528057098
All,0.4536868781621946,6.011074591090892e-26,500,0.007557400227827073,932.6831603050232
All,0.5147195247114236,4.9863606306056835e-34,500,0.007952627356395594,903.0673182010651
All,0.511254302804754,1.6018783349154612e-33,500,0.007708915828340824,883.3039178848267
