category,correlation,p-value
Birds,0.14514124927619937,0.2621223996416092
Clothing,0.28893995045124166,0.02401109319599304
Fruit,0.25909178861207594,0.11463189884897591
Furniture,0.1549633841238512,0.35260303420150985
Professions,0.3316509855543467,0.08406926816138308
Sports,0.3088816687814329,0.017560446136253495
Vegetables,0.18405851261988895,0.3510336888552111
Vehicles,0.33625782270766547,0.08126862509392617
