category,correlation,p-value,epochs,lowest train loss,duration
Birds,0.2020103526293838,0.06060467483058344,500,0.01058000692123792,149.22891569137573
Birds,0.5101027167762536,4.4908408581577986e-07,500,0.013061090168829486,149.87069511413574
Birds,0.13546593825192982,0.21091894519217763,500,0.012390108479621142,150.90225863456726
Birds,0.003098472182426178,0.9772771844067687,500,0.011797325856755516,149.6829550266266
Birds,0.28408293603679385,0.0076622206106361545,500,0.011940859743771164,150.04189562797546
Clothing,0.15156611587711774,0.17405580686475877,500,0.014468217093572992,138.42907881736755
Clothing,0.23006431202474553,0.038809565906974805,500,0.01358320988566045,139.1158037185669
Clothing,0.08944976176177948,0.42712041439163895,500,0.015240243395389126,139.46988463401794
Clothing,0.44606055270190487,2.9994505784917578e-05,308,0.021657601176195675,88.68817734718323
Clothing,0.14914316419490237,0.18389041367143125,500,0.01263605069943557,139.2027440071106
Fruit,0.08276589525504406,0.6023023453234402,500,0.008318803923799578,72.09476375579834
Fruit,0.5834718501095053,5.001127096869533e-05,500,0.010386717624565259,71.74807929992676
Fruit,0.5044176320898582,0.000658688380167279,500,0.006748169129074151,71.94707012176514
Fruit,0.4621995858444294,0.0020591616528301045,500,0.008621108217736592,72.15559554100037
Fruit,0.324374766350388,0.036100963398607674,500,0.007696697775302559,71.93980193138123
Furniture,0.01839382826518085,0.9127197847226168,500,0.013492905364337934,65.2565348148346
Furniture,0.3081641514696459,0.059796478225533654,106,0.049029563325711636,15.17598819732666
Furniture,-0.009085934094913059,0.9568240189232307,500,0.015129853547397201,64.94669532775879
Furniture,-0.006351642070092203,0.9698100422771772,500,0.016436065832737625,65.12190628051758
Furniture,0.24123966789482978,0.14454493825673026,500,0.01639844562979713,65.26671123504639
Professions,0.12233039077397491,0.2924615210520911,500,0.016513324905823714,130.06534481048584
Professions,0.516997877475143,1.7395756741468894e-06,500,0.017993292144156677,129.88353443145752
Professions,0.32785720301716803,0.0038378144953078947,500,0.017529602318594812,131.68175530433655
Professions,0.251015431120088,0.02983654873706991,500,0.01800273273736088,129.96688866615295
Professions,0.33446439054258637,0.0033585072238569553,500,0.015721036318110622,129.95458149909973
Sports,0.25803717372266627,0.024417692381678235,500,0.01210590168598506,129.5923810005188
Sports,0.3450425512114682,0.0022695097068064006,500,0.010562885235510355,129.5014877319336
Sports,0.5144782911326686,1.9919549805328044e-06,500,0.012382444408953029,129.9631950855255
Sports,0.32645077782917487,0.004257574164361906,358,0.012279770784801742,95.42575192451477
Sports,0.4789944697896631,1.3781693710566437e-05,500,0.009928399025054963,129.47265529632568
Vegetables,0.4450042189290248,0.005118654357654549,500,0.008956001863135785,65.22113251686096
Vegetables,0.29681515431431954,0.07035859555294946,500,0.008576876096837344,65.2341468334198
Vegetables,0.3878914529050395,0.016114742064678562,500,0.007141879809937471,65.13034439086914
Vegetables,0.5557686811330679,0.00029183284465147534,500,0.006628971796571573,65.35528469085693
Vegetables,0.5169451076682889,0.0008902242875321901,500,0.008415332260889542,65.50810885429382
Vehicles,0.648642418518414,8.197590341265024e-07,500,0.01322223571565959,80.09824562072754
Vehicles,0.3458442600871148,0.018560761665504136,500,0.015607191652973572,80.25785946846008
Vehicles,0.11572746505553913,0.44374794487972624,500,0.012965625255419371,79.20668387413025
Vehicles,0.43238242611212313,0.0026916861750130474,500,0.014428631468981037,79.24040842056274
Vehicles,0.6298023618456569,2.739541567436194e-06,500,0.013260583255666732,79.3004240989685
